dataset,backbone,budget,method,avg_words,exact_budget_hit_pct,rougeLsum,bertscore_f1,factcc,minicheck,alignscore,factkb,faithlens_fully_faithful
CNN/DailyMail,BART,2,Direct,36.08,99.76,37.19,88.14,74.76,95.24,91.85,98.51,99.46
CNN/DailyMail,BART,2,+DPP,44.57,100.00,32.65,86.84,80.94,98.01,94.99,98.77,99.87
CNN/DailyMail,BART,3,Direct,53.44,94.26,40.35,88.22,76.13,95.12,91.69,98.57,99.23
CNN/DailyMail,BART,3,+DPP,62.78,100.00,36.13,87.18,80.53,97.90,94.84,99.18,99.74
CNN/DailyMail,BART,4,Direct,62.39,54.67,41.01,88.23,76.08,95.02,91.62,98.48,98.51
CNN/DailyMail,BART,4,+DPP,80.00,100.00,36.66,87.23,79.93,97.73,94.63,99.46,99.63
CNN/DailyMail,BART,5,Direct,64.48,13.73,41.04,88.22,75.94,94.96,91.56,98.47,98.08
CNN/DailyMail,BART,5,+DPP,96.85,100.00,35.35,87.06,79.48,97.59,94.43,99.44,99.50
Multi-News,PRIMERA,2,Direct,52.64,100.00,24.24,86.55,23.81,52.46,41.97,91.75,81.00
Multi-News,PRIMERA,2,+DPP,51.04,100.00,19.85,84.62,47.48,92.86,78.76,91.08,96.03
Multi-News,PRIMERA,3,Direct,74.92,99.36,30.38,86.78,30.25,57.58,47.71,92.93,75.65
Multi-News,PRIMERA,3,+DPP,72.00,100.00,24.75,84.81,48.08,92.28,77.70,93.27,93.72
Multi-News,PRIMERA,4,Direct,93.21,92.99,34.41,86.89,33.83,60.63,51.07,93.66,71.06
Multi-News,PRIMERA,4,+DPP,92.67,100.00,28.13,84.84,47.96,91.32,76.56,94.60,91.20
Multi-News,PRIMERA,5,Direct,103.47,66.36,36.42,86.91,36.04,62.35,52.68,94.19,67.38
Multi-News,PRIMERA,5,+DPP,113.80,100.00,30.42,84.77,47.56,90.18,75.36,95.60,88.28
