dataset,backbone,beam,rougeLsum,factcc,minicheck,alignscore,factkb,faithlens
CNN/DailyMail,BART,4,41.05,75.91,94.96,91.55,98.47,98.02
CNN/DailyMail,BART,8,36.68,79.21,97.60,94.28,99.23,99.48
CNN/DailyMail,BART,12,36.30,79.93,97.73,94.63,99.46,99.63
CNN/DailyMail,Llama-3-8B,4,35.28,46.78,76.00,75.08,98.51,99.09
CNN/DailyMail,Llama-3-8B,8,23.65,51.05,85.60,78.48,98.35,98.73
CNN/DailyMail,Llama-3-8B,12,22.91,51.57,87.56,79.56,98.50,98.89
Multi-News,PRIMERA,4,37.30,37.37,62.26,52.24,94.31,64.46
Multi-News,PRIMERA,8,33.74,43.35,80.51,67.39,97.68,75.49
Multi-News,PRIMERA,12,32.79,45.68,85.38,71.27,97.54,79.70
Multi-News,Llama-3-8B,4,34.81,38.35,60.46,59.04,90.99,68.52
Multi-News,Llama-3-8B,8,29.43,52.68,79.40,70.23,98.14,93.92
Multi-News,Llama-3-8B,12,28.18,53.67,83.15,72.56,98.29,95.14
