dataset,method,category,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,factcc,minicheck,alignscore,factkb,faithlens,paired_against
CNN/DailyMail,BART,direct,44.09,21.13,30.68,41.05,88.22,75.91,94.96,91.55,98.47,98.02,
CNN/DailyMail,FactEdit,prior_work,42.53,20.48,39.74,40.76,88.17,76.03,94.82,91.46,98.68,97.85,
CNN/DailyMail,SimCLS,prior_work,46.67,22.15,43.54,43.09,66.14,59.49,83.34,82.37,80.75,95.74,
CNN/DailyMail,BRIO-Mul,prior_work,47.78,23.55,44.57,44.12,87.84,54.06,84.67,74.48,85.20,94.23,
CNN/DailyMail,BRIO-Ctr,prior_work,47.28,22.93,44.15,44.10,89.11,62.62,88.42,84.98,78.89,96.63,
CNN/DailyMail,EFactSum,prior_work,44.37,21.28,40.92,41.07,88.36,60.74,88.33,82.02,91.38,97.38,
CNN/DailyMail,SummaReranker,prior_work,46.62,22.39,43.59,43.80,88.47,68.17,93.81,88.27,98.10,97.68,
CNN/DailyMail,Llama-3-8B,direct,38.98,14.82,24.20,35.28,87.72,46.78,76.00,75.08,98.51,99.09,
CNN/DailyMail,Qwen3.5-9B,direct,34.88,10.91,20.33,30.77,86.96,40.16,56.82,65.17,98.12,98.69,
CNN/DailyMail,Gemma-4-E4B-it,direct,30.51,6.41,18.07,27.40,86.19,53.99,69.49,71.32,89.59,75.80,
CNN/DailyMail,BART+DPP,proposed,39.18,17.76,26.23,36.30,87.23,79.93,97.73,94.63,99.46,99.63,BART
CNN/DailyMail,Llama-3-8B+DPP,proposed,26.40,5.15,16.39,22.91,85.06,51.57,87.56,79.56,98.55,98.89,Llama-3-8B
Multi-News,PRIMERA,direct,41.10,15.88,22.17,37.30,86.89,37.40,63.06,53.30,94.36,64.46,
Multi-News,SimCLS,prior_work,45.78,17.31,23.14,41.59,85.68,32.47,54.35,48.19,57.35,58.32,
Multi-News,BRIO-Ctr,prior_work,46.04,16.90,22.73,41.78,85.61,30.39,51.50,46.01,53.81,53.18,
Multi-News,SummaReranker,prior_work,44.56,16.72,22.61,40.45,87.14,35.18,61.49,51.88,94.72,60.26,
Multi-News,Llama-3-8B,direct,38.84,8.68,18.16,34.81,85.42,38.35,60.46,59.04,90.99,68.52,
Multi-News,Qwen3.5-9B,direct,38.31,6.74,15.96,34.05,84.82,42.01,48.40,53.08,86.98,49.20,
Multi-News,Gemma-4-E4B-it,direct,35.44,6.53,16.27,31.86,84.89,48.49,66.79,66.35,87.68,57.93,
Multi-News,PRIMERA+DPP,proposed,36.69,11.86,19.56,32.79,84.49,45.68,85.38,71.27,97.54,79.70,PRIMERA
Multi-News,Llama-3-8B+DPP,proposed,32.24,5.42,15.93,28.18,83.59,53.67,83.15,72.56,98.29,95.14,Llama-3-8B
