dataset,method,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,factcc,minicheck,alignscore,factkb,faithlens
CNN/DailyMail,BART+MMR,41.47,18.86,27.16,38.43,87.58,78.86,96.20,93.00,98.95,98.22
CNN/DailyMail,BART+ILP,41.03,18.86,27.12,38.11,87.55,80.18,97.62,94.46,99.31,99.55
CNN/DailyMail,BART+DPP,39.18,17.76,26.23,36.30,87.23,79.93,97.73,94.63,99.46,99.63
CNN/DailyMail,Llama-3-8B+MMR,28.51,5.88,17.08,24.81,85.51,50.32,85.81,78.60,98.28,98.68
CNN/DailyMail,Llama-3-8B+ILP,27.54,5.41,16.71,23.95,85.30,52.04,87.89,79.64,98.18,98.96
CNN/DailyMail,Llama-3-8B+DPP,26.40,5.15,16.39,22.91,85.06,51.57,87.56,79.56,98.55,98.89
Multi-News,PRIMERA+MMR,38.87,13.27,20.30,35.04,85.06,45.23,83.85,69.89,96.49,74.14
Multi-News,PRIMERA+ILP,37.26,12.18,19.73,33.36,84.62,45.77,85.39,71.27,97.40,78.87
Multi-News,PRIMERA+DPP,36.69,11.86,19.56,32.79,84.49,45.68,85.38,71.27,97.54,79.70
Multi-News,Llama-3-8B+MMR,32.77,5.60,16.02,28.70,83.72,53.46,83.03,72.39,98.14,94.88
Multi-News,Llama-3-8B+ILP,32.99,5.64,16.02,28.91,83.77,53.43,83.30,72.46,98.10,95.11
Multi-News,Llama-3-8B+DPP,32.24,5.42,15.93,28.18,83.59,53.67,83.15,72.56,98.29,95.14
