dataset,n,backbone,metric,delta,ci95_low,ci95_high,p_holm,significance
CNN/DailyMail,11490,BART,R-1,-4.91,-5.07,-4.74,<0.001,p<0.01
CNN/DailyMail,11490,BART,R-2,-3.37,-3.53,-3.21,<0.001,p<0.01
CNN/DailyMail,11490,BART,R-L,-4.45,-4.62,-4.28,<0.001,p<0.01
CNN/DailyMail,11490,BART,R-Lsum,-4.74,-4.91,-4.58,<0.001,p<0.01
CNN/DailyMail,11490,BART,BERTScore,-0.99,-1.02,-0.96,<0.001,p<0.01
CNN/DailyMail,11490,BART,FactCC,4.02,3.58,4.44,<0.001,p<0.01
CNN/DailyMail,11490,BART,MiniCheck,2.77,2.62,2.93,<0.001,p<0.01
CNN/DailyMail,11490,BART,AlignScore,3.07,2.87,3.28,<0.001,p<0.01
CNN/DailyMail,11490,BART,FactKB,0.99,0.79,1.20,<0.001,p<0.01
CNN/DailyMail,11490,BART,FaithLens,1.60,1.36,1.85,<0.001,p<0.01
CNN/DailyMail,11490,Llama-3-8B,R-1,-12.58,-12.76,-12.41,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,R-2,-9.67,-9.81,-9.54,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,R-L,-7.82,-7.94,-7.69,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,R-Lsum,-12.37,-12.54,-12.21,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,BERTScore,-2.66,-2.70,-2.63,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,FactCC,4.81,4.16,5.44,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,MiniCheck,11.56,11.18,11.95,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,AlignScore,4.48,4.08,4.88,0.0011,p<0.01
CNN/DailyMail,11490,Llama-3-8B,FactKB,0.04,-0.18,0.24,0.745,n.s.
CNN/DailyMail,11490,Llama-3-8B,FaithLens,-0.21,-0.46,0.04,0.248,n.s.
Multi-News,5622,PRIMERA,R-1,-4.41,-4.65,-4.18,<0.001,p<0.01
Multi-News,5622,PRIMERA,R-2,-4.01,-4.19,-3.83,<0.001,p<0.01
Multi-News,5622,PRIMERA,R-L,-2.61,-2.78,-2.45,<0.001,p<0.01
Multi-News,5622,PRIMERA,R-Lsum,-4.50,-4.72,-4.27,<0.001,p<0.01
Multi-News,5622,PRIMERA,BERTScore,-2.41,-2.46,-2.36,<0.001,p<0.01
Multi-News,5622,PRIMERA,FactCC,8.28,7.55,9.03,<0.001,p<0.01
Multi-News,5622,PRIMERA,MiniCheck,22.32,21.76,22.88,<0.001,p<0.01
Multi-News,5622,PRIMERA,AlignScore,17.97,17.43,18.53,<0.001,p<0.01
Multi-News,5622,PRIMERA,FactKB,3.15,2.71,3.58,<0.001,p<0.01
Multi-News,5622,PRIMERA,FaithLens,15.24,13.80,16.70,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,R-1,-6.60,-6.79,-6.40,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,R-2,-3.26,-3.35,-3.17,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,R-L,-2.23,-2.32,-2.14,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,R-Lsum,-6.62,-6.80,-6.45,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,BERTScore,-1.82,-1.86,-1.78,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,FactCC,15.35,14.55,16.15,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,MiniCheck,22.67,22.12,23.24,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,AlignScore,13.52,12.99,14.05,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,FactKB,7.30,6.74,7.87,<0.001,p<0.01
Multi-News,5622,Llama-3-8B,FaithLens,26.63,25.31,27.91,<0.001,p<0.01
