annotator_id,url,item_count,bart_cnn_count,llama_cnn_count
annotator_01,https://zy06-learn.github.io/bcfs/?annotator=annotator_01,5,3,2
annotator_02,https://zy06-learn.github.io/bcfs/?annotator=annotator_02,5,3,2
annotator_03,https://zy06-learn.github.io/bcfs/?annotator=annotator_03,5,3,2
annotator_04,https://zy06-learn.github.io/bcfs/?annotator=annotator_04,5,3,2
annotator_05,https://zy06-learn.github.io/bcfs/?annotator=annotator_05,5,3,2
annotator_06,https://zy06-learn.github.io/bcfs/?annotator=annotator_06,5,3,2
annotator_07,https://zy06-learn.github.io/bcfs/?annotator=annotator_07,5,3,2
annotator_08,https://zy06-learn.github.io/bcfs/?annotator=annotator_08,5,3,2
annotator_09,https://zy06-learn.github.io/bcfs/?annotator=annotator_09,5,3,2
annotator_10,https://zy06-learn.github.io/bcfs/?annotator=annotator_10,5,3,2
annotator_11,https://zy06-learn.github.io/bcfs/?annotator=annotator_11,5,2,3
annotator_12,https://zy06-learn.github.io/bcfs/?annotator=annotator_12,5,2,3
annotator_13,https://zy06-learn.github.io/bcfs/?annotator=annotator_13,5,2,3
annotator_14,https://zy06-learn.github.io/bcfs/?annotator=annotator_14,5,2,3
annotator_15,https://zy06-learn.github.io/bcfs/?annotator=annotator_15,5,2,3
annotator_16,https://zy06-learn.github.io/bcfs/?annotator=annotator_16,5,2,3
annotator_17,https://zy06-learn.github.io/bcfs/?annotator=annotator_17,5,2,3
annotator_18,https://zy06-learn.github.io/bcfs/?annotator=annotator_18,5,2,3
annotator_19,https://zy06-learn.github.io/bcfs/?annotator=annotator_19,5,2,3
annotator_20,https://zy06-learn.github.io/bcfs/?annotator=annotator_20,5,2,3
